Brand,w/c.,value,Volume,Distribution
AMSTEL 250/300/330 can 6 pk,17/12/2017,141591,93450,98
AMSTEL 250/300/330 can 6 pk,24/12/2017,76288,35309,95
AMSTEL 250/300/330 can 6 pk,31/12/2017,60385,28090,95
AMSTEL 250/300/330 can 6 pk,07/01/2018,50864,22422,91
AMSTEL 250/300/330 can 6 pk,14/01/2018,49681,21887,93
AMSTEL 250/300/330 can 6 pk,21/01/2018,57822,25485,94
AMSTEL 250/300/330 can 6 pk,28/01/2018,65727,28912,93
AMSTEL 250/300/330 can 6 pk,04/02/2018,66958,31147,95
AMSTEL 250/300/330 can 6 pk,11/02/2018,63500,28575,93
AMSTEL 250/300/330 can 6 pk,18/02/2018,167630,99390,98
AMSTEL 250/300/330 can 6 pk,25/02/2018,68584,31718,94
AMSTEL 250/300/330 can 6 pk,04/03/2018,53855,24821,95
AMSTEL 250/300/330 can 6 pk,11/03/2018,151652,91993,99
AMSTEL 250/300/330 can 6 pk,18/03/2018,60281,28445,93
AMSTEL 250/300/330 can 6 pk,25/03/2018,57842,26922,95
AMSTEL 250/300/330 can 6 pk,01/04/2018,74568,34321,95
AMSTEL 250/300/330 can 6 pk,08/04/2018,148481,83843,99
AMSTEL 250/300/330 can 6 pk,15/04/2018,73696,34082,94
AMSTEL 250/300/330 can 6 pk,22/04/2018,169345,102584,98
AMSTEL 250/300/330 can 6 pk,29/04/2018,197381,130829,99
AMSTEL 250/300/330 can 6 pk,06/05/2018,195742,118796,98
AMSTEL 250/300/330 can 6 pk,13/05/2018,95924,44590,98
AMSTEL 250/300/330 can 6 pk,20/05/2018,178998,102184,99
AMSTEL 250/300/330 can 6 pk,27/05/2018,110028,52887,97
AMSTEL 250/300/330 can 6 pk,03/06/2018,83203,38212,97
AMSTEL 250/300/330 can 6 pk,10/06/2018,202629,123083,99
AMSTEL 250/300/330 can 6 pk,17/06/2018,72139,33218,96
AMSTEL 250/300/330 can 6 pk,24/06/2018,198408,113355,99
AMSTEL 250/300/330 can 6 pk,01/07/2018,109944,51910,97
AMSTEL 250/300/330 can 6 pk,08/07/2018,80642,37375,97
AMSTEL 250/300/330 can 6 pk,15/07/2018,91700,42247,96
AMSTEL 250/300/330 can 6 pk,22/07/2018,231711,132478,99
AMSTEL 250/300/330 can 6 pk,29/07/2018,118522,52767,97
AMSTEL 250/300/330 can 6 pk,05/08/2018,257061,160594,99
AMSTEL 250/300/330 can 6 pk,12/08/2018,77485,34606,97
